Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
Y	3521	OMXS30@SSE	[111111111111]	1	0.03%	09:05	17:25	8	15:15	QCA Index		OMXS30	OMS	10	Vwap	10	10	70	0		Y	Y	N	N	N		N	
Y	3522	TOPIX@TSE	[001001001001]	1	0.03%	09:10	15:15	8	15:15	TPA Index	TLFI	TOPX	TSEJ	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3523	Swiss Index@EUX	[001001001001]	1	0.03%	08:10	22:00	8	17:20	SMA Index	FSMI	SMI	SOFFEX	10	Vwap	2	10	70	0		Y	Y	N	Y	N		N	
Y	3524	MSCI Singapore@SGX	[111111111111]	1	0.03%	08:40	17:15	8	17:15	QZA Index	SSG	SSG	SGX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3525	Nikkei 225@CME	[001001001001]	1	0.03%	08:10	15:15	8	15:15	NXA Index	NK	NKD	GLOBEX	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
R3515	3526	Hang Seng Mini@HKG	[111111111111]	1	0.03%	09:25	16:15	8		HUA Index	HMH	MHI	HKFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3527	MSCI Emerging Market@NYL	[001001001001]	1	0.03%	19:26	17:00	8	17:00	MESA Index	MEM	MXEF	NYSELIFFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3528	ASX SPI 200@SFE	[001001001001]	1	0.03%	10:00	16:30	8	16:30	XPA Index	YAP	SPI	SNFE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3529	Euro Stoxx 50 DVD@EUX	[000000000001]	1	0.03%	08:40	22:00	8		DEDA Index	FEXD	DESX5	DTB	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
Y	3530	SP400 E-Mini@CME	[001001001001]	1	0.03%	08:35	15:00	8	14:50	FAA Index	DM	EMD	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	N	Y	N		N	
Y	3531	Euro STOXX Banks@EUX	[001001001001]	1	0.03%	08:10	22:05	8	17:30	CAA Index	FESB	SX7E	DTB	10	Vwap	2	10	70	0		Y	Y	Y	Y	N		Y	
Y	3532	Amsterdam Index@EOE	[111111111111]	1	0.03%	08:10	22:00	8	22:00	EOA Index		EOE	FTA	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
R3522	3533	Mini TOPIX@TSE	[001001001001]	1	0.03%	09:10	15:15	8		TMIA Index		MNTPX	TSEJ	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
