Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	StpLossPeriod	BBExch	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	TradeDir	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	Note
N	3117	10-year Japan Govt Bond@TSE	[001001001001]	1	0.01%	15:30	15:02	8	15:02	JBA Comdty	JGB	15:30	15:30	20	Vwap	10	09:05	10:05	09:05	10:05	3	TSE	JGB	TSEJ	10	Vwap	2	10	70	0		Y	Y	N	N	N		Y	
N	3118	10-Year Korea Treasury Bond@KFE	[001001001001]	1	0.01%	09:00	15:45	8	15:45	KAAA Comdty	10TB	09:00	09:00	12	Vwap	2	09:20	10:20	09:20	10:20		KFE	FLKTB	KSE	10	Vwap	2	10	70	0		Y	Y	N	N	N		N	
N	3119	Euro Buxl@EUX	[001001001001]	1	0.01%	01:10	22:00	8	17:15	UBA Comdty	FGBX	01:10	01:10	20	Vwap	10	08:05	09:05	08:05	09:05	3	EUX	GBX	DTB	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y	new	N	
N	3120	3-year Italian Bond@EUX	[001001001001]	1	0.01%	08:00	19:00	8	17:15	BTSA Comdty	FBTS	08:00	08:00	12	Vwap	2	08:20	09:20	08:20	09:20		EUX	BTS	DTB	10	Vwap	2	10	70	0		Y	Y	N	N	N	new	N	
N	3121	5-year Swedish Govt Bonde@PMI	[001001001001]	1	0.01%	09:00	16:00	8	16:00	SKA Comdty		09:00	09:00	12	Vwap	2	09:20	10:20	09:20	10:20		PMI			10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	3122	2-year Swedish @PMI	[001001001001]	1	0.01%	09:00	17:20	8	17:20	SLA Comdty		09:00	09:00	12	Vwap	2	09:20	10:20	09:20	10:20		PMI			10	Vwap	2	10	70	0		N	N	N	N	N		N	
N	3124	5-year China Govt Bond@CFF	[001001001001]	1	0.01%	09:30	15:15	8	15:15	TFCA Comdty		09:30	09:30	12	Vwap	2	13:20	14:20	13:20	14:20		CFF			10	Vwap	2	10	70	0		N	N	N	N	N		N	
Y	3201	USD Index@FNX	[001001001001]	1	0.01%	20:00	17:00	8	15:00	DXA Curncy	DX	20:00	20:00	20	Vwap	10	08:20	09:20	08:20	09:20	3	FNX	DX	NYBOT	10	Vwap	10	10	70	0		Y	Y	Y	Y	Y		Y	
N	3202	EUR/GBP@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	RPA Curncy	RP	17:00	17:00	40	Vwap	30	08:35	09:25	01:50	03:50		CME	RP	GLOBEX	10	Vwap	10	10	70	0	17:00	Y	Y	N	Y	N		N	
N	3203	EUR/JPY@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	RYA Curncy	RY	17:00	17:00	40	Vwap	30	08:35	09:25	02:30	04:30	3	CME	RY	GLOBEX	10	Vwap	10	10	70	0		Y	Y	N	Y	N		N	
